appId,id,domainId,v1,v2,v3,v4,v5,v6,y,y_ai,y_txai,y_iso
NHANES,1,0,80,0.0,0.0,44.18917980098924,5.8,0.0,,30.990263949454945,53.99256848101407,52.64662803733603
NHANES,2,0,80,0.0,0.0,34.67846923928405,5.9,1.0,,48.459330921317765,61.68685484117394,59.95065779348221
NHANES,3,0,47,0.0,0.0,22.32246523912753,5.4,0.0,,23.74529511725662,22.60097078877528,23.10563782400186
NHANES,4,0,65,1.0,0.0,42.519517201094295,7.7,1.0,,98.48160314851548,92.79369439119516,91.79113901295273
NHANES,5,0,65,0.0,0.0,22.21781392580837,5.3,0.0,,23.059319886481365,27.191717120371013,26.37877862540442
NHANES,6,0,41,0.0,1.0,30.877724571418263,5.6,0.0,,24.82126036931306,21.17116350031511,24.884143208019506
NHANES,7,0,62,0.0,0.0,22.913299629713176,5.7,0.0,,24.623403911296045,32.339604564921245,31.77206368000773
NHANES,8,0,42,1.0,0.0,38.80058483754208,7.1,0.0,,94.91792865322046,61.404901220472674,62.12759393512091
NHANES,9,0,59,1.0,1.0,22.0815666706765,5.9,0.0,,29.502866379994984,31.00082939367542,32.590272223494395
NHANES,10,0,73,1.0,1.0,27.56471132539509,6.2,1.0,,59.20270334963199,56.244883092377655,56.80260995103829
NHANES,11,0,45,0.0,1.0,26.98330331796954,5.4,0.0,,23.468412867023208,17.0848036061587,20.404087520960573
NHANES,12,0,44,0.0,1.0,32.9454563999694,6.2,1.0,,64.0391383546381,44.700953203791975,48.105934231938114
NHANES,13,0,45,0.0,0.0,19.1044776119403,5.1,0.0,,23.0969321014502,15.510892403586425,16.07403074544669
NHANES,14,0,80,1.0,1.0,19.526530612244898,6.8,1.0,,82.54305071887629,61.817813886994905,61.67791049310616
NHANES,15,0,50,1.0,0.0,29.973942464169124,5.4,0.0,,23.27510498504922,34.01801995428784,33.89738264453901
NHANES,16,0,59,0.0,1.0,35.38882839361243,5.2,0.0,,25.908888480567647,24.55531121265023,27.05917562171859
NHANES,17,0,61,1.0,1.0,39.9027933992969,5.8,1.0,,38.38362211941179,54.68977794530353,56.4218961243854
NHANES,18,0,50,0.0,0.0,51.97356942101889,6.0,1.0,,54.90872048493151,64.46631259236034,65.35266704421416
NHANES,19,0,80,1.0,0.0,24.840789525730784,6.3,1.0,,80.3602946054435,66.16387637246189,63.59308941935018
NHANES,20,0,69,0.0,1.0,29.64489003975558,5.8,1.0,,33.9875907357157,45.25892238778383,46.7489801043657
NHANES,21,0,70,1.0,0.0,30.80839965309661,6.1,0.0,,43.05621802729196,51.308732421574256,49.76657235368039
NHANES,23,0,51,1.0,0.0,33.022326690606064,7.8,1.0,,97.0331271111413,83.17257540846788,82.95583697840438
NHANES,24,0,50,0.0,0.0,28.47000609559325,4.9,0.0,,22.875450043876867,20.57691617346638,21.00497962133348
NHANES,25,0,66,0.0,1.0,23.231838642836,8.3,1.0,,99.23468250326502,75.6054107532467,77.21157117893058
NHANES,26,0,77,1.0,0.0,30.572186055841986,7.0,1.0,,97.37355412199918,78.93413429429658,76.74158198501857
NHANES,27,0,72,0.0,0.0,29.97277342309473,6.1,1.0,,65.27250806524424,58.70416164041522,57.438332826969024
NHANES,28,0,54,0.0,1.0,24.95127570327943,5.3,1.0,,25.905713245562485,29.943146508575964,32.39821372018909
NHANES,29,0,55,1.0,0.0,39.156925979832,8.2,0.0,,96.93690981396662,81.71109091090565,81.52002120689147
NHANES,30,0,80,1.0,0.0,25.85367248004553,5.4,0.0,,26.497912128281143,41.42124065959966,39.00977811586936
NHANES,31,0,72,1.0,0.0,24.99707537773853,5.3,1.0,,26.69935207434837,49.31374202014155,47.30720806550266
NHANES,32,0,63,0.0,1.0,29.604053293300804,6.2,1.0,,65.77961004053509,48.90314305987998,50.83896793608832
NHANES,33,0,73,1.0,0.0,31.247844613679074,7.5,0.0,,97.02553011731194,72.56430419104423,70.8466480463271
NHANES,34,0,46,0.0,0.0,29.94963385303562,5.0,0.0,,23.221232016713373,21.633139041304773,22.392212640422407
NHANES,35,0,59,0.0,0.0,27.295702243794512,5.8,0.0,,26.490789378068257,35.66346483741921,35.426587410910926
NHANES,36,0,70,1.0,1.0,37.711536094670414,6.3,0.0,,56.30181686517757,50.80912532729624,51.99640810702103
NHANES,37,0,42,0.0,0.0,26.13665287589634,5.4,0.0,,24.17404136230881,23.446034236908844,
NHANES,38,0,77,1.0,0.0,29.50033347308619,6.4,0.0,,71.53826293749759,57.08054708822743,55.00211378662907
NHANES,39,0,61,1.0,1.0,30.42341337161472,5.9,1.0,,41.12607069501,49.81347642822463,51.31088201933583
NHANES,40,0,80,0.0,1.0,25.96005593603213,8.8,0.0,,97.361763635061,76.68524003071958,77.50493619571307
NHANES,41,0,74,0.0,0.0,27.71425631737812,6.7,0.0,,87.68728135789826,53.83725649856138,52.5377048677541
NHANES,42,0,54,0.0,1.0,25.46130488681691,5.7,1.0,,30.699470244283965,35.98196468569206,38.459012081994985
NHANES,43,0,80,0.0,0.0,27.92268718333646,6.1,0.0,,36.72343364925906,47.4545482997899,45.70880619429133
NHANES,44,0,59,0.0,0.0,24.68452369390544,5.4,1.0,,26.255612156196577,40.81935958825022,40.35320485221611
NHANES,45,0,75,0.0,1.0,26.57429397356137,6.5,1.0,,81.3673436966411,55.220842469149616,56.21271154983886
NHANES,46,0,59,1.0,1.0,33.13087416959596,7.1,1.0,,96.38747426542152,68.03642895873614,69.7750673318011
NHANES,47,0,63,1.0,0.0,31.705669095690965,7.4,0.0,,96.3051212598186,68.06298968709557,67.08374171058719
NHANES,48,0,80,1.0,0.0,23.84365648008575,5.6,0.0,,27.032394120328973,42.93501128267296,40.477904708144855
NHANES,49,0,61,1.0,0.0,30.86597082575249,5.6,1.0,,32.10893607529205,53.77105544822947,52.72038075272741
NHANES,50,0,72,1.0,0.0,22.114998898772555,6.5,1.0,,91.49833855219036,64.49728963922962,62.44637585628232
NHANES,51,0,67,1.0,0.0,31.92692674378722,6.0,1.0,,64.79561406957986,62.20451154906975,60.75203158365783
NHANES,52,0,65,0.0,0.0,27.31945198830684,7.0,0.0,,93.33633188227964,54.80702758348348,54.16086605127269
NHANES,53,0,56,0.0,0.0,24.916659860864662,5.3,1.0,,25.49551895011361,38.534511957601,38.29063491709918
NHANES,54,0,79,1.0,0.0,27.07521710900089,7.4,0.0,,96.37988121094789,70.39409778903871,68.13224300976952
NHANES,55,0,65,0.0,0.0,21.26380031034457,7.6,0.0,,96.12679656301226,59.33131986686632,58.547586055828106
NHANES,56,0,67,1.0,0.0,40.97000389932411,6.0,1.0,,69.19409074967963,68.21573491242931,66.989365246404
NHANES,58,0,54,1.0,1.0,41.27965395549457,8.2,1.0,,99.0599137293348,87.43724471893674,89.76964236278545
NHANES,59,0,47,0.0,0.0,18.197677862790925,5.6,0.0,,24.24994660073592,22.70898506506601,23.11513098121804
NHANES,60,0,78,0.0,0.0,26.060245739199367,8.9,1.0,,98.66888849294628,98.03029625421117,96.29367216584316
NHANES,62,0,42,0.0,1.0,26.713341918815363,4.3,0.0,,22.6945545249512,0.2167320627321203,3.7226704485711855
NHANES,63,0,73,0.0,0.0,23.99146773872693,5.4,1.0,,26.701556496698668,45.09164133770993,43.58718278135811
NHANES,64,0,69,1.0,0.0,31.029934989212325,6.1,0.0,,43.10093770039297,51.11792418712364,49.65423009613183
NHANES,65,0,59,0.0,1.0,24.21295195921548,5.3,0.0,,25.041100852127794,18.551294133656043,20.778027284224564
NHANES,66,0,76,1.0,0.0,37.57102034525394,6.5,1.0,,92.17957981370093,76.12368221695635,74.16751890154444
NHANES,67,0,62,0.0,0.0,30.194560109090027,8.7,1.0,,97.11699949361147,92.51949685704749,92.04846051368456
NHANES,68,0,63,1.0,1.0,23.486683324363568,7.7,1.0,,97.92476084446858,71.52758369118746,72.74721595993738
NHANES,69,0,50,0.0,0.0,23.638525564803807,5.6,1.0,,28.268056163434085,39.931314916896056,40.09996113818976
NHANES,70,0,80,1.0,1.0,30.75390175391556,8.3,1.0,,94.22151297620644,90.65520284542754,90.8306285597712
NHANES,71,0,53,1.0,0.0,32.24882857477111,6.5,1.0,,91.97195260883348,64.8102435318003,64.39832163023742
NHANES,72,0,77,1.0,0.0,27.63757176367503,6.3,1.0,,83.26331280925436,67.00877757993746,64.72670083136606
NHANES,74,0,63,1.0,1.0,35.03700494971927,8.9,1.0,,99.1803967142956,96.304809123904,97.84092477496591
NHANES,75,0,49,0.0,0.0,35.473410305968805,4.3,0.0,,22.49667378569864,16.344555513114337,17.006815326483753
NHANES,76,0,69,1.0,0.0,21.972225169954505,6.5,1.0,,91.69726481059033,63.388173734898814,61.55247040985951
